���web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
1575142253-2797,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,VEST WITH POCKETS,https://www.zara.com/us/en/vest-with-pockets-p03461202.html,VEST WITH POCKETS Details,49.90 USD,Light pistachio
1575142164-2754,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,LACE BOMBER JACKET,https://www.zara.com/us/en/lace-bomber-jacket-p08741232.html,LACE BOMBER JACKET Details,null,Khaki
1575142286-2813,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FAUX LEATHER JACKET,https://www.zara.com/us/en/faux-leather-jacket-p02969263.html,FAUX LEATHER JACKET Details,89.90 USD,Black
1575142570-2948,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,OVERSIZED CORDUROY OVERSHIRT WITH POCKETS,https://www.zara.com/us/en/oversized-corduroy-overshirt-with-pockets-p08372222.html,OVERSIZED CORDUROY OVERSHIRT WITH POCKETS Details,49.90 USD,Ecru
1575142431-2881,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FAUX FUR HOODED JACKET,https://www.zara.com/us/en/faux-fur-hooded-jacket-p06318021.html,FAUX FUR HOODED JACKET Details,69.90 USD,Light gray
1575142410-2871,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,PLAID OVERSHIRT,https://www.zara.com/us/en/plaid-overshirt-p06318224.html,PLAID OVERSHIRT Details,69.90 USD,Red / Black
1575142293-2816,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,BELTED TECHNICAL JACKET,https://www.zara.com/us/en/belted-technical-jacket-p03427220.html,BELTED TECHNICAL JACKET Details,49.90 USD,Black
1575142297-2818,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,DENIM VEST,https://www.zara.com/us/en/denim-vest-p05252210.html,DENIM VEST Details,39.90 USD,Blue
1575142495-2912,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FAUX FUR VEST,https://www.zara.com/us/en/faux-fur-vest-p08741221.html,FAUX FUR VEST Details,89.90 USD,Black
1575142537-2932,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,PLAID OVERSHIRT,https://www.zara.com/us/en/plaid-overshirt-p08832145.html,PLAID OVERSHIRT Details,69.90 USD,Multicolored
1575142375-2856,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,DENIM JACKET WITH TOPSTITCHING,https://www.zara.com/us/en/denim-jacket-with-topstitching-p00327201.html,DENIM JACKET WITH TOPSTITCHING Details,49.90 USD,Ecru
1575142452-2891,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FAUX FUR BIKER JACKET,https://www.zara.com/us/en/faux-fur-biker-jacket-p01255206.html,FAUX FUR BIKER JACKET Details,119.00 USD,Black
1575142342-2840,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FAUX LEATHER JACKET,https://www.zara.com/us/en/faux-leather-jacket-p04369248.html,FAUX LEATHER JACKET Details,69.90 USD,Black
1575142541-2934,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FAUX FUR JACKET,https://www.zara.com/us/en/faux-fur-jacket-p04360240.html,FAUX FUR JACKET Details,89.90 USD,Black
1575142466-2898,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,COMBINED JACKET WITH POCKETS,https://www.zara.com/us/en/combined-jacket-with-pockets-p03305252.html,COMBINED JACKET WITH POCKETS Details,69.90 USD,Black
1575142412-2872,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FLEECE SLEEVE JACKET,https://www.zara.com/us/en/fleece-sleeve-jacket-p08073240.html,FLEECE SLEEVE JACKET Details,69.90 USD,Khaki
1575142179-2761,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,PUFFER JACKET,https://www.zara.com/us/en/puffer-jacket-p04341227.html,PUFFER JACKET Details,69.90 USD,Black
1575142351-2844,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,ARIZONA BLUE '80S JACKET,https://www.zara.com/us/en/arizona-blue--80s-jacket-p06840242.html,ARIZONA BLUE '80S JACKET Details,69.90 USD,Blue
1575142266-2803,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,TWEED JACKET WITH POCKETS,https://www.zara.com/us/en/tweed-jacket-with-pockets-p08271020.html,TWEED JACKET WITH POCKETS Details,119.00 USD,only one
1575142369-2853,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,RUSTIC JACKET WITH VOLUMINOUS SLEEVES,https://www.zara.com/us/en/rustic-jacket-with-voluminous-sleeves-p06929220.html,RUSTIC JACKET WITH VOLUMINOUS SLEEVES Details,69.90 USD,Khaki
1575142171-2757,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,JACKET WITH POCKETS,https://www.zara.com/us/en/jacket-with-pockets-p08527200.html,JACKET WITH POCKETS Details,39.90 USD,Camel
1575142547-2937,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,VINTAGE ���80S LEATHER JACKET,https://www.zara.com/us/en/vintage-%E2%80%9880s-leather-jacket-p05479240.html,VINTAGE ���80S LEATHER JACKET Details,249.00 USD,Black
1575142177-2760,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,OVERSIZED DENIM JACKET WITH RIPS,https://www.zara.com/us/en/oversized-denim-jacket-with-rips-p04406151.html,OVERSIZED DENIM JACKET WITH RIPS Details,49.90 USD,Light Blue
1575142506-2917,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FAUX FUR JACKET,https://www.zara.com/us/en/faux-fur-jacket-p01255280.html,FAUX FUR JACKET Details,119.00 USD,Red
1575142462-2896,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,JACKET WITH FAUX SHEARLING,https://www.zara.com/us/en/jacket-with-faux-shearling-p02969259.html,JACKET WITH FAUX SHEARLING Details,119.00 USD,Ecru
1575142433-2882,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,BELTED JACKET,https://www.zara.com/us/en/belted-jacket-p06318230.html,BELTED JACKET Details,69.90 USD,Khaki
1575142241-2791,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,OVERSIZED DENIM JACKET WITH RIPS,https://www.zara.com/us/en/oversized-denim-jacket-with-rips-p04979222.html,OVERSIZED DENIM JACKET WITH RIPS Details,49.90 USD,Black
1575142377-2857,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FLEECE COAT,https://www.zara.com/us/en/fleece-coat-p06318226.html,FLEECE COAT Details,89.90 USD,Mink
1575142403-2868,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FLORAL PRINTED BOMBER JACKET,https://www.zara.com/us/en/floral-printed-bomber-jacket-p02674206.html,FLORAL PRINTED BOMBER JACKET Details,49.90 USD,only one
1575142590-2958,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,PADDED PARKA WITH HOOD,https://www.zara.com/us/en/padded-parka-with-hood-p03046227.html,PADDED PARKA WITH HOOD Details,129.00 USD,Khaki
1575142564-2945,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,DOWN JACKET WITH FAUX FUR HOOD,https://www.zara.com/us/en/down-jacket-with-faux-fur-hood-p08073224.html,DOWN JACKET WITH FAUX FUR HOOD Details,119.00 USD,Mustard
1575142512-2920,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,WATER RESISTENT DOWN FILLED PUFFER COAT,https://www.zara.com/us/en/water-resistent-down-filled-puffer-coat-p00518267.html,WATER RESISTENT DOWN FILLED PUFFER COAT Details,169.00 USD,beige
1575142173-2758,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,DENIM JACKET,https://www.zara.com/us/en/denim-jacket-p09374209.html,DENIM JACKET Details,39.90 USD,Light Blue
1575142202-2772,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,PTCH/M1 03,https://www.zara.com/us/en/ptch-m1-03-p04369191.html,PTCH/M1 03 Details,229.00 USD,Khaki
1575142189-2766,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,CROPPED DENIM JACKET,https://www.zara.com/us/en/cropped-denim-jacket-p04365219.html,CROPPED DENIM JACKET Details,49.90 USD,Light Blue
1575142317-2828,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,PACKABLE WATER REPELLENT JACKET - BAG ��REPREVE,https://www.zara.com/us/en/packable-water-repellent-jacket---bag-%C2%AErepreve-p09815200.html,PACKABLE WATER REPELLENT JACKET - BAG ��REPREVE Details,49.90 USD,Fluorescent lime
1575142424-2878,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,BELTED DOWN PUFFER COAT,https://www.zara.com/us/en/belted-down-puffer-coat-p08073828.html,BELTED DOWN PUFFER COAT Details,169.00 USD,Midnight blue
1575142340-2839,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FRINGED PLAID JACKET,https://www.zara.com/us/en/fringed-plaid-jacket-p03440244.html,FRINGED PLAID JACKET Details,69.90 USD,Red
1575142291-2815,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,PACKABLE RAINCOAT - BACKPACK,https://www.zara.com/us/en/packable-raincoat---backpack-p04391200.html,PACKABLE RAINCOAT - BACKPACK Details,39.90 USD,Dark khaki
1575142607-2966,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,SORONA �� DUPONT䋢 WATER REPELLENT COAT,https://www.zara.com/us/en/sorona-%C2%AE-dupont%E2%84%A2-water-repellent-coat-p03427207.html,SORONA �� DUPONT䋢 WATER REPELLENT COAT Details,129.00 USD,Black
1575142477-2903,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,OVERSIZED PUFFER COAT,https://www.zara.com/us/en/oversized-puffer-coat-p08073823.html,OVERSIZED PUFFER COAT Details,119.00 USD,Black
1575142586-2956,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FRINGE JACKET,https://www.zara.com/us/en/fringe-jacket-p02969280.html,FRINGE JACKET Details,89.90 USD,Black
1575142381-2859,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,BOMBER JACKET WITH CONTRASTING EMBROIDERY,https://www.zara.com/us/en/bomber-jacket-with-contrasting-embroidery-p07521235.html,BOMBER JACKET WITH CONTRASTING EMBROIDERY Details,129.00 USD,Burgundy
1575142497-2913,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,DOUBLE-FACED JACKET,https://www.zara.com/us/en/double-faced-jacket-p03833221.html,DOUBLE-FACED JACKET Details,149.00 USD,Black
1575142439-2885,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,OVERSIZED HERRINGBONE JACKET,https://www.zara.com/us/en/oversized-herringbone-jacket-p06929226.html,OVERSIZED HERRINGBONE JACKET Details,89.90 USD,Navy blue
1575142485-2907,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FAUX FUR JACKET,https://www.zara.com/us/en/faux-fur-jacket-p01255211.html,FAUX FUR JACKET Details,89.90 USD,Black
1575142508-2918,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,��REPREVE WATER REPELLENT OVERSIZED NYLON VEST,https://www.zara.com/us/en/%C2%AErepreve-water-repellent-oversized-nylon-vest-p05320202.html,��REPREVE WATER REPELLENT OVERSIZED NYLON VEST Details,69.90 USD,White
1575142531-2929,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,CROPPED FLEECE COAT,https://www.zara.com/us/en/cropped-fleece-coat-p02969252.html,CROPPED FLEECE COAT Details,89.90 USD,Gray
1575142386-2861,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,OVERSIZED JACKET WITH POCKETS,https://www.zara.com/us/en/oversized-jacket-with-pockets-p03427218.html,OVERSIZED JACKET WITH POCKETS Details,89.90 USD,Dark beige
1575142299-2819,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,PUFFER JACKET,https://www.zara.com/us/en/puffer-jacket-p07102224.html,PUFFER JACKET Details,49.90 USD,Navy blue
1575142309-2824,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FAUX LEATHER SHIRT,https://www.zara.com/us/en/faux-leather-shirt-p02969267.html,FAUX LEATHER SHIRT Details,69.90 USD,Black
1575142428-2880,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,PUFFER VEST WITH ZIPPERED VENTS,https://www.zara.com/us/en/puffer-vest-with-zippered-vents-p03046231.html,PUFFER VEST WITH ZIPPERED VENTS Details,69.90 USD,Khaki
1575142235-2788,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FLOWY DRAWSTRING JACKET,https://www.zara.com/us/en/flowy-drawstring-jacket-p03046250.html,FLOWY DRAWSTRING JACKET Details,69.90 USD,Khaki
1575142601-2963,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,CONTRASTING FLEECE JACKET,https://www.zara.com/us/en/contrasting-fleece-jacket-p04341224.html,CONTRASTING FLEECE JACKET Details,69.90 USD,taupe brown
1575142233-2787,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,IRIDESCENT EFFECT JACKET,https://www.zara.com/us/en/iridescent-effect-jacket-p04391212.html,IRIDESCENT EFFECT JACKET Details,39.90 USD,only one
1575142169-2756,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,DENIM JACKET WITH FULL SLEEVES,https://www.zara.com/us/en/denim-jacket-with-full-sleeves-p08197225.html,DENIM JACKET WITH FULL SLEEVES Details,49.90 USD,Light Blue
1575142348-2843,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,PLAID OVERSHIRT,https://www.zara.com/us/en/plaid-overshirt-p08684835.html,PLAID OVERSHIRT Details,49.90 USD,Ecru / Red
1575142516-2922,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,SORONA �� DUPONT䋢 PUFFER COAT,https://www.zara.com/us/en/sorona-%C2%AE-dupont%E2%84%A2-puffer-coat-p03427219.html,SORONA �� DUPONT䋢 PUFFER COAT Details,149.00 USD,Black
1575142167-2755,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,JACKET WITH DOTTED MESH SLEEVES,https://www.zara.com/us/en/jacket-with-dotted-mesh-sleeves-p02712205.html,JACKET WITH DOTTED MESH SLEEVES Details,49.90 USD,Black
1575142162-2753,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,SORONA �� DUPONT䋢 PUFFER JACKET,https://www.zara.com/us/en/sorona-%C2%AE-dupont%E2%84%A2-puffer-jacket-p03427233.html,SORONA �� DUPONT䋢 PUFFER JACKET Details,null,Khaki
1575142522-2925,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,CORDUROY OVERSHIRT,https://www.zara.com/us/en/corduroy-overshirt-p02740250.html,CORDUROY OVERSHIRT Details,49.90 USD,Black
1575142278-2809,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,PLAID JACKET,https://www.zara.com/us/en/plaid-jacket-p02731280.html,PLAID JACKET Details,89.90 USD,Red / Black
1575142193-2768,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,CROPPED DENIM JACKET,https://www.zara.com/us/en/cropped-denim-jacket-p05252227.html,CROPPED DENIM JACKET Details,49.90 USD,Blue
1575142361-2849,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,LACE VELVET BOMBER JACKET,https://www.zara.com/us/en/lace-velvet-bomber-jacket-p07484227.html,LACE VELVET BOMBER JACKET Details,49.90 USD,Black
1575142208-2775,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,BELTED JACKET,https://www.zara.com/us/en/belted-jacket-p04720221.html,BELTED JACKET Details,69.90 USD,Dusty pink
1575142501-2915,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,LIGHTWEIGHT PUFFER JACKET,https://www.zara.com/us/en/lightweight-puffer-jacket-p05071023.html,LIGHTWEIGHT PUFFER JACKET Details,49.90 USD,Green
1575142401-2867,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,DENIM JACKET,https://www.zara.com/us/en/denim-jacket-p05252224.html,DENIM JACKET Details,49.90 USD,Light Blue
1575142578-2952,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,SHORT QUILTED JACKET,https://www.zara.com/us/en/short-quilted-jacket-p08073026.html,SHORT QUILTED JACKET Details,69.90 USD,Camel
1575142422-2877,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FAUX LEATHER OVERSHIRT,https://www.zara.com/us/en/faux-leather-overshirt-p02969275.html,FAUX LEATHER OVERSHIRT Details,49.90 USD,Black
1575142282-2811,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FRAYED OVERSIZED JACKET,https://www.zara.com/us/en/frayed-oversized-jacket-p04720022.html,FRAYED OVERSIZED JACKET Details,49.90 USD,Black
1575142499-2914,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,LIGHTWEIGHT PUFFER JACKET,https://www.zara.com/us/en/lightweight-puffer-jacket-p05071223.html,LIGHTWEIGHT PUFFER JACKET Details,49.90 USD,Mink
1575142175-2759,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,OVERSIZED DENIM JACKET WITH RIPS,https://www.zara.com/us/en/oversized-denim-jacket-with-rips-p04979221.html,OVERSIZED DENIM JACKET WITH RIPS Details,49.90 USD,White
1575142280-2810,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,JACKET WITH POCKETS,https://www.zara.com/us/en/jacket-with-pockets-p06318031.html,JACKET WITH POCKETS Details,69.90 USD,Ecru
1575142491-2910,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,DOWN JACKET WITH FAUX FUR HOOD,https://www.zara.com/us/en/down-jacket-with-faux-fur-hood-p06719240.html,DOWN JACKET WITH FAUX FUR HOOD Details,169.00 USD,Green
1575142195-2769,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,OVERSHIRT WITH POCKETS,https://www.zara.com/us/en/overshirt-with-pockets-p05575001.html,OVERSHIRT WITH POCKETS Details,49.90 USD,Sea green
1575142448-2889,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FAUX FUR COAT,https://www.zara.com/us/en/faux-fur-coat-p08073239.html,FAUX FUR COAT Details,89.90 USD,Ecru
1575142576-2951,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,BLOCK COLOR PUFFER JACKET,https://www.zara.com/us/en/block-color-puffer-jacket-p08073236.html,BLOCK COLOR PUFFER JACKET Details,89.90 USD,Black / Ecru
1575142303-2821,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,NEOPRENE STYLE JACKET,https://www.zara.com/us/en/neoprene-style-jacket-p02712202.html,NEOPRENE STYLE JACKET Details,49.90 USD,Black
1575142562-2944,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,OVERSIZED PUFFER COAT,https://www.zara.com/us/en/oversized-puffer-coat-p08073229.html,OVERSIZED PUFFER COAT Details,129.00 USD,Camel
1575142353-2845,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,DENIM OVERSHIRT WITH POCKET,https://www.zara.com/us/en/denim-overshirt-with-pocket-p06164201.html,DENIM OVERSHIRT WITH POCKET Details,49.90 USD,Light Blue
1575142609-2967,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,SORONA �� DUPONT䋢 PUFFER COAT,https://www.zara.com/us/en/sorona-%C2%AE-dupont%E2%84%A2-puffer-coat-p04341275.html,SORONA �� DUPONT䋢 PUFFER COAT Details,149.00 USD,Black
1575142572-2949,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,REVERSIBLE FLEECE JACKET,https://www.zara.com/us/en/reversible-fleece-jacket-p06318238.html,REVERSIBLE FLEECE JACKET Details,119.00 USD,Ecru / Khaki
1575142545-2936,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,JACKET WITH FAUX SHEARLING,https://www.zara.com/us/en/jacket-with-faux-shearling-p03305251.html,JACKET WITH FAUX SHEARLING Details,89.90 USD,Ecru
1575142593-2959,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,HOODED DOWN JACKET,https://www.zara.com/us/en/hooded-down-jacket-p08073248.html,HOODED DOWN JACKET Details,149.00 USD,Black
1575142346-2842,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,CORDUROY JACKET WITH VOLUMINOUS SLEEVES,https://www.zara.com/us/en/corduroy-jacket-with-voluminous-sleeves-p06929230.html,CORDUROY JACKET WITH VOLUMINOUS SLEEVES Details,49.90 USD,Ice
1575142514-2921,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,PUFFER JACKET - BAG,https://www.zara.com/us/en/puffer-jacket---bag-p00155242.html,PUFFER JACKET - BAG Details,119.00 USD,Black
1575142489-2909,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,WATER RESISTANT PUFFER JACKET,https://www.zara.com/us/en/water-resistant-puffer-jacket-p00518252.html,WATER RESISTANT PUFFER JACKET Details,119.00 USD,Black
1575142472-2901,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,HOODED PUFFER COAT,https://www.zara.com/us/en/hooded-puffer-coat-p00068222.html,HOODED PUFFER COAT Details,89.90 USD,Khaki
1575142191-2767,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,CROPPED DENIM JACKET,https://www.zara.com/us/en/cropped-denim-jacket-p04365285.html,CROPPED DENIM JACKET Details,49.90 USD,Oyster White
1575142270-2805,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,PATCH POCKET OVERSHIRT,https://www.zara.com/us/en/patch-pocket-overshirt-p07484326.html,PATCH POCKET OVERSHIRT Details,69.90 USD,Light khaki
1575142272-2806,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,POUCH POCKET JACKET,https://www.zara.com/us/en/pouch-pocket-jacket-p02753227.html,POUCH POCKET JACKET Details,69.90 USD,Khaki
1575142599-2962,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,HOODED PUFFER JACKET,https://www.zara.com/us/en/hooded-puffer-jacket-p01255223.html,HOODED PUFFER JACKET Details,129.00 USD,Black
1575142595-2960,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,HOODED PUFFER JACKET,https://www.zara.com/us/en/hooded-puffer-jacket-p03427222.html,HOODED PUFFER JACKET Details,49.90 USD,Black
1575142373-2855,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,RUSTIC QUILTED VEST,https://www.zara.com/us/en/rustic-quilted-vest-p06929225.html,RUSTIC QUILTED VEST Details,69.90 USD,Ecru
1575142379-2858,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,ORGANZA BOMBER,https://www.zara.com/us/en/organza-bomber-p08207129.html,ORGANZA BOMBER Details,69.90 USD,Red
1575142568-2947,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,LEATHER-LOOK BOMBER,https://www.zara.com/us/en/leather-look-bomber-p03046289.html,LEATHER-LOOK BOMBER Details,49.90 USD,Camel
1575142426-2879,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,DOWN JACKET WITH FAUX FUR HOOD,https://www.zara.com/us/en/down-jacket-with-faux-fur-hood-p08073250.html,DOWN JACKET WITH FAUX FUR HOOD Details,199.00 USD,Black
1575142420-2876,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,LONG SHIRT WITH POCKETS,https://www.zara.com/us/en/long-shirt-with-pockets-p02740242.html,LONG SHIRT WITH POCKETS Details,69.90 USD,Black
1575142301-2820,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,LIGHTWEIGHT DOWN PUFFER JACKET,https://www.zara.com/us/en/lightweight-down-puffer-jacket-p05071222.html,LIGHTWEIGHT DOWN PUFFER JACKET Details,89.90 USD,Black
1575142526-2927,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,JACKET WITH POUCH POCKET,https://www.zara.com/us/en/jacket-with-pouch-pocket-p05039429.html,JACKET WITH POUCH POCKET Details,49.90 USD,Olive green
1575142334-2836,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FAUX LEATHER JACKET,https://www.zara.com/us/en/faux-leather-jacket-p03046262.html,FAUX LEATHER JACKET Details,69.90 USD,Khaki
1575142355-2846,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FAUX SUEDE HOODED JACKET,https://www.zara.com/us/en/faux-suede-hooded-jacket-p04387362.html,FAUX SUEDE HOODED JACKET Details,69.90 USD,Khaki
1575142284-2812,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FAUX LEATHER JACKET,https://www.zara.com/us/en/faux-leather-jacket-p02969265.html,FAUX LEATHER JACKET Details,89.90 USD,Camel
1575142603-2964,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,SORONA �� DUPONT䋢 PUFFER COAT,https://www.zara.com/us/en/sorona-%C2%AE-dupont%E2%84%A2-puffer-coat-p04391203.html,SORONA �� DUPONT䋢 PUFFER COAT Details,119.00 USD,Black
1575142597-2961,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FAUX LEATHER JACKET,https://www.zara.com/us/en/faux-leather-jacket-p03427200.html,FAUX LEATHER JACKET Details,69.90 USD,Black
1575142384-2860,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,OVERSIZED LEATHER JACKET,https://www.zara.com/us/en/oversized-leather-jacket-p03461201.html,OVERSIZED LEATHER JACKET Details,229.00 USD,Black
1575142437-2884,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,LONG HOODED DOWN COAT,https://www.zara.com/us/en/long-hooded-down-coat-p03046826.html,LONG HOODED DOWN COAT Details,169.00 USD,Black
1575142239-2790,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,SATIN POUCH POCKET JACKET,https://www.zara.com/us/en/satin-pouch-pocket-jacket-p05039426.html,SATIN POUCH POCKET JACKET Details,49.90 USD,Khaki
